title,content
KDI: N. Korea Likely to Expand Trade with China amid Supply Shortages,"A researcher at a state-run South Korean think tank believes that North Korea will ease its pandemic induced border closure to address the shortage of industrial materials. Kim Soo-jeong at the Korea Institute for Industrial Economics and Trade offered this analysis during a presentation at an academic forum on Friday. Kim said the shortage of intermediate and capital goods must have worsened in North Korea with decreased imports from China amid the pandemic and global sanctions, and argued that it would be impossible to maintain closed borders any longer. Kim projected that Pyongyang will seek to expand imports from China, especially industrial items that are not subject to sanctions, and stressed the importance of reviving North Korea-China trade. Bilateral trade that plummeted in early 2020 has been gradually recovering since the resumption of rail operation between Dandong and Sinuiju last year. Food such as rice and flour likely account for most shipments going into the North this year.                  "
China Protests Seoul's Summon of its Ambassador ,"China has raised objection with South Korea's summon of its ambassador to protest Beijing's criticism of President Yoon Suk Yeol's recent comments on Taiwan. In a regular briefing Friday, Chinese foreign ministry spokesperson Wang Wenbin said that China has sternly proposed talks to South Korea both in Beijing and Seoul regarding the erroneous remarks made on the Taiwan issue. China customarily uses such expression of ""sternly proposing talks"" when it files a protest on a certain matter through diplomatic channels. On Thursday, Seoul's foreign ministry summoned Chinese Ambassador Xing Haiming to strongly protest China's reaction to Yoon’s remarks in an interview with Reuters saying that he opposes any attempts to change the status quo by force in reference to the Taiwan issue. Following the interview, Beijing said it would not allow others to meddle in the Taiwan issue, calling on Seoul to adhere to the ""One China"" policy while asserting the issue is an internal matter. South Korea called such remarks ""rude"" and a ""grave lack of diplomatic etiquette.""                  "
Four Missing Crew of Russian Fishing Boat Caught on Fire Found Dead,"Rescue authorities found the dead bodies of four fishermen who went missing from a fire that broke out on a Russian fishing boat in waters off the southeastern city of Ulsan in the early hours of Friday. According to the Ulsan Coast Guard and fire department, the bodies were found inside the boat after it was towed to a pier at half past noon. The Coast Guard transported the bodies to a hospital and will decide whether an autopsy should be performed after consulting with the Russian embassy. The fire was completely extinguished at around 3:40 p.m., nearly 15 hours after it started. The Coast Guard battled the flames first on sea but gusty winds and high waves forced them to move the boat to the pier and carry on the fire fighting and search operations there. The fire broke out on board the 769-ton vessel at around 12:43 a.m. in waters some 52 kilometers southeast of Ulsan as it was headed to Russia after departing from Busan carrying some one hundred tons of seafood. Twenty-one of the 25 crew members, who were all Russian, managed to escape.                  "
Gov't to Purchase Rental Homes Affected by Fraud Scams ,"The government may buy up to 35-thousand homes this year to secure housing for real estate fraud victims involving the lump-sum “jeonse” rental deposit scheme. Following jeonse scams popping up across the nation leading to several suicides deaths of victims, the government will take extraordinary measures and have the Korea Land and Housing Corporation purchase the affected homes, in which case the victims will not be evicted and will be given reprieve to live in their homes. Land minister Won Hee-ryong on Friday held an emergency meeting at the corporation's headquarters in Seoul and discussed the purchase plan. He said, given the urgency of the case, the affected homes will be given priority in the public sector purchase of rental units scheduled for this year at a total capacity of 35-thousand. Meanwhile, major banks are also offering to provide financing and legal consultation for rental fraud victims. According to industry sources on Friday, KB, Shinhan and Hana Bank will offer related loans at a discounted interest rate or no interest at all for one to two years.                  "
Police Chief Asks Cooperation from China on Spiked Drink Case,"The national police commissioner has sent a letter to Chinese authorities asking for cooperation to arrest the masterminds behind a blackmail scheme involving the distribution of drug-laced beverages to students in Seoul’s Gangnam area. According to the National Police Agency on Friday, in the letter, Commissioner General Yoon Hee-keun shared leads on the case and requested swift assistance from China's Ministry of Public Security, which agreed. Police believe that a South Korean national, the mastermind of the crime, and a Chinese national who took orders and mailed related supplies such as boxes and empty bottles to South Korea are both currently in China and are trying to locate their exact whereabouts. The commissioner held a senior-level meeting on Friday morning and ordered active cooperation with the Chinese side to quickly apprehend the suspects, with the potential dispatch of a working-level team on the table. Earlier this week, the police also requested the issuance of an Interpol purple notice, which enables information sharing to prevent similar crimes across borders. One police official vowed to continue joint efforts on various fronts to repatriate the suspects to South Korea.                  "
KOSPI Ends Friday Down 0.73%,"The benchmark Korea Composite Stock Price Index(KOSPI) fell 18-point-71 points, or zero-point-73 percent, on Friday, to close the week at two-thousand-544-point-four. The tech-heavy KOSDAQ also fell, losing 16-point-89 points, or one-point-91 percent, to close at 868-point-82. On the foreign exchange, the local currency weakened five-point-four won against the U.S. dollar, closing the day at one-thousand-328-point-two won.                  "
S. Koreans Set for Evacuation from Sudan by Military Plane amid Violence,"The government will dispatch a military transport aircraft and troops to Sudan to evacuate South Korean nationals from the war-torn country. The defense ministry on Friday announced the decision to send a C-130J transport aircraft as well as some 50 military personnel including security and medical staff amid intensifying fighting between rival forces in the African nation. The ministry said the airport in the capital of Khartoum is closed due to the continuing conflict and the aircraft and troops will therefore be on standby at a U.S. military base in nearby Djibouti to closely monitor the situation and provide priority support for the evacuation. One military official said it is expected that the plane will take about 24 hours to reach Sudan. Earlier in the day, President Yoon Suk Yeol ordered swift measures be taken to protect South Koreans in the country, including the dispatch of military aircraft. Fighting broke out last Saturday between the military and paramilitary forces with a reported 413 lives claimed as of Friday. Seoul's foreign ministry said Tuesday the 25 South Koreans in the country are believed to be safe.                  "
"Chinese FM: ""Those Who Play with Fire on Taiwan to be Burned to Death""","Chinese Foreign Minister Qin Gang says those who play with fire on Taiwan will eventually get themselves burned. The harsh rhetoric came during Qin's speech for the opening of an economic forum on Friday in Shanghai. [Sound bite: Chinese Foreign Minister Qin Gang (Mandarin-English)] ""The Taiwan question is at the core of China’s interests, and there will be no vagueness at all in our response to anyone who attempts to distort the ‘One China’ principle; we will never back down in the face of any act that undermines China’s sovereignty and security. Those who play with fire on Taiwan will eventually get themselves burned to death.” This came shortly in the wake of South Korean President Yoon Suk Yeol's interview with Reuters, during which he expressed his opposition to ""attempts to change the status quo by force"" in reference to the Taiwan issue. While summarizing Yoon's remarks without specifying his name, Qin said that ""such logic is absurd, and the consequences dangerous.""                  "
"S. Korea, UK, Japanese Lawmakers to Seek to Provide N. Koreans with Internet Access","Lawmakers from South Korea, Britain and Japan have agreed to seek ways to directly provide internet access to North Korea’s general population. The International Parliamentarians' Coalition for Asian Human Rights said on Thursday that it reached the agreement with the British parliament's All-Parliamentary Group on North Korea, which was included in a joint statement issued at the 19th general meeting of the International Parliamentarians' Coalition for North Korean Refugees and Human Rights in London. In the statement, the legislators said that the continued denial of internet access by the regime should compel the international community to seek ways to provide access to the North's people and create a global fund for the provision of internet services in the reclusive state. The statement also called on the international community, including South Korea, Britain, the U.S. and Japan, to establish common international norms and regulations on responding to the North’s cyberattacks, and to form a consultative body to deter and prevent them. Internet in the North is restricted by Pyongyang, with a local intranet called “Kwangmyong” providing access to state-approved materials, including news sources such as the official newspaper of the ruling Workers’ Party, the Rodong Sinmun.                  "
Terraform Labs CEO Kwon Indicted in Montenegro,"Prosecutors in Montenegro have reportedly indicted Terraform Labs co-founder Kwon Do-hyeong on passport forgery charges. According to a report in local newspaper Pobjeda on Thursday, the fugitive CEO widely known as Do Kwon and a close confidant surnamed Han have been referred to trial for allegedly forging official documents, with the prosecution also requesting that their detainment be extended. Kwon was arrested on March 23 at the airport in Podgorica, the capital of Montenegro, while attempting to board a flight to Dubai with a fake passport after being on the run for eleven months following massive investor losses of nearly 40 billion U.S. dollars worldwide caused by his cryptocurrency firm. With the indictment, his extradition to any other country will likely be delayed. Under Montenegrin law, convictions for forging official documents carry a sentence with a minimum three months to a maximum five years in prison while a six-month jail term is considered the standard.                  "
China’s FM: Those Who Play with Fire over Taiwan Will Burn to Death,"China's foreign minister, Qin Gang, has warned that those who play with fire over Taiwan are certain to burn to death. According to the Chinese foreign ministry, Qin made the remark on Friday during a forum hosted by the ministry as he stressed that Taiwan is key to China’s main interests in an apparent rebuke of President Yoon Suk Yeol’s earlier comments on the issue. The minister used the same expression that Chinese leader Xi Jinping had as he conveyed his dissatisfaction with a visit to the island by U.S. Speaker of the House Nancy Pelosi last August, warning President Joe Biden about “playing with fire” in a phone call the month before her visit. Qin went on to criticize claims that China is seeking to change the status quo of the Taiwan Strait by force and is challenging the global order. Though Qin did not mention Yoon by name in his comments, they appeared to be a check on remarks by the South Korean president in an interview with Reuters on Wednesday that he is opposed to Beijing's efforts to force Taiwan to accept Chinese sovereignty. Qin’s comments were also perceived to be a warning to Seoul and Washington ahead of discussions on the Taiwan issue set to be included in the South Korea-U.S. summit which will be held in Washington next Wednesday.                  "
Yoon Orders Military to Send Plane to Evacuate S. Koreans from Sudan,"Anchor: Intensified fighting between rival military factions in the capital of Sudan that began last weekend has left at least 330 people dead. With 25 South Korean nationals reported in the country, President Yoon Suk Yeol ordered the deployment of military aircraft to bring them home safely. Our Bae Joo-yon has more. Report: [Sound bite: Gunfire in Khartoum (Apr. 20 & 21 / Al Arabiya TV)] Clashes have continued to terrorize people in Sudan’s capital of Khartoum after members of the Armed Forces and the paramilitary Rapid Support Forces began fighting last Saturday. With the fighting showing no signs of abating, people have begun to risk their lives in seeking refuge. [Sound bite: al-Nour Abdallah, a bus passenger leaving Khartoum (Arabic-English)] “The situation is really bad, this is not right, not good. The citizens are totally taking advantage of each other… I'm only praying for safety and that God ends the bloodshed, we are praying to God for them to reach an agreement (Sudan’s two top generals) and that God ends the bloodshed of all Muslims."" Gas stations in the city are seeing endless lines while trucks and bus terminals are swarming with people trying to get out of the city, with many opting to abandon their homes as they run out of food, water or access to power, braving the crossfire in the streets. The UN estimates that between ten-thousand and 20-thousand people have crossed the border to evacuate. Many countries are mulling ways to get their nationals out of Sudan, but guaranteeing the safety of overland routes remains a serious challenge. The UN has repeatedly urged fighting parties to observe a ceasefire. [Sound bite: UN Secretary-General António Guterres (English)] “There was a strong consensus on condemning the ongoing fighting in Sudan and calling for a cessation of hostilities. As an immediate priority, I appeal for a ceasefire to take place for at least three days, marking the Eid al-Fitr celebrations, to allow civilians trapped in conflict zones to escape and to seek medical treatment, food and other essential supplies. This must be the first step in providing respite from the fighting and paving the way for a permanent ceasefire.” The World Health Organization estimates that the fighting has left at least 413 people dead and some 35-hundred wounded. In Seoul, President Yoon Suk Yeol on Friday ordered the deployment of military transport aircraft to repatriate a reported 25 South Korean nationals in Sudan. The president called for various measures while highlighting the safety of citizens overseas following a briefing on the conflict in the Sudanese capital. Bae Joo-yon, KBS World Radio News.                  "
25 Areas Susceptible to Risk of Failure to Return ‘Jeonse’ Deposit,"The risk of problems with lump-sum “jeonse” rental deposits affecting multi-unit buildings and studio apartments is prevalent in 25 areas nationwide. According to the Korea Real Estate Board on Friday, 25 regions between January and March this year posted a sales-to-rental deposit price ratio for such housing units of over 80 percent. Ratios in excess of the threshold carry a greater chance that the landlord may be unable to return the deposit to the tenant, even if the property is sold. Recent cases of organizational fraud also involved the landlord taking out a loan during construction, in which the lending institution had priority for the right to collateral security. Moreover, in the wake of a decline in housing prices, there were even cases in which the jeonse price exceeded that of the sales price, such as in the central city of Daejeon, where the ratio stood at 131-point-eight percent. A recent series of deaths by suicide of young people has been attributed to problems with such deposits, prompting the government to pursue remedies to the system.                  "
USFK Chief Calls for Bigger Training Budget to Maintain Deterrence,"The commander of U.S. Forces Korea(USFK) appealed for an increased training budget to maintain deterrence against North Korea's evolving nuclear and missile threats. In a written response to the U.S. Senate Armed Services Committee on Thursday, USFK Commander Gen. Paul LaCamera said that although efforts are under way to resume Seoul and Washington's combined live training, the budget is insufficient. Stating that live-fire training has been limited due to spatial restrictions, LaCamera said a further budget cut would undermine USFK's capabilities to conduct such exercises on the Korean Peninsula and beyond. The commander stressed that the current funding levels should be viewed as a ""floor"" rather than a ""ceiling."" Mentioning that North Korea appears prepared to conduct its seventh nuclear test, LaCamera emphasized that a lack of external pressure renders such a test a matter not of “if” but “when.” Referring to aggressive investments by China, Russia and North Korea in information warfare technology and operational practices, LaCamera expressed concern about USFK's competitiveness in intelligence capabilities.                  "
